corp,year,operating_income,revenue,net_income,outstanding_shares,total_liabilities,total_assets,cash_flow_per_share,sales_per_share,current_assets,current_liabilities,inventory,net_working_capital,non_current_assets,non_current_liabilities
GKL,2018,105058462361.0,480339213881.0,77740630299.0,123711340,203672777253.0,765759332040.0,750.5087001725145,3882.741985342653,455583241430.0,168569816537.0,2456504592.0,287013424893.0,310176090610.0,35102960716.0
GKL,2019,96802634482.0,490752464360.0,72396401927.0,123711340,324258159715.0,909430532036.0,950.5184287794474,3966.915760188193,457057708222.0,211761095265.0,2490486465.0,245296612957.0,452372823814.0,112497064450.0
GKL,2020,-88810804534.0,184462332044.0,-64326965650.0,123711340,222055672049.0,708445969367.0,-1123.3905865784009,1491.0705198407843,347246891778.0,128840842759.0,3653282497.0,218406049019.0,361199077589.0,93214829290.0
GKL,2021,-145828746668.0,85086860671.0,-113272118808.0,123711340,147757777932.0,531306108295.0,-1036.4245417679576,687.7854582368924,236965182812.0,101123517036.0,3040429531.0,135841665776.0,294340925483.0,46634260896.0
GKL,2022,-13917278200.0,262110551065.0,-22744367290.0,123711340,227057758258.0,609513166650.0,369.9543853457573,2118.726957973295,262720452008.0,161100630495.0,2943794835.0,101619821513.0,346792714642.0,65957127763.0
GS,2018,2209837000000.0,17744385000000.0,1030460000000.0,189400408,12105993000000.0,22630978000000.0,6701.13128795372,93687.15298649199,3285134000000.0,4568776000000.0,502910000000.0,-1283642000000.0,19345844000000.0,7537217000000.0
GS,2019,2033142000000.0,17786063000000.0,668945000000.0,189400408,13718283000000.0,24734086000000.0,8375.974564954475,93907.20531077209,3117465000000.0,4789648000000.0,461987000000.0,-1672183000000.0,21616621000000.0,8928635000000.0
GS,2020,943196000000.0,15346150000000.0,-187776000000.0,189400408,13720298000000.0,24476843000000.0,9177.340314916322,81024.9046559604,3436836000000.0,3997764000000.0,377082000000.0,-560928000000.0,21040007000000.0,9722534000000.0
GS,2021,2651346000000.0,20165049000000.0,1614682000000.0,189400408,16988343000000.0,31191287000000.0,5353.452036914303,106467.82239244173,5388853000000.0,5501784000000.0,629020000000.0,-112931000000.0,25802434000000.0,11486559000000.0
GS,2022,5005127000000.0,28777048000000.0,2482704000000.0,189400408,17434432000000.0,33922242000000.0,14442.255055754684,151937.62412592059,5978612000000.0,6527808000000.0,712544000000.0,-549196000000.0,27943630000000.0,10906624000000.0
