종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
267850,아시아나IDT,KOSPI,서비스업,13140,20,0.15,145854000000
020560,아시아나항공,KOSPI,운수창고업,12340,80,0.65,918241167760
122900,아이마켓코리아,KOSPI,유통업,9890,0,0,330611227600
010780,아이에스동서,KOSPI,비금속광물,33650,250,0.75,1039536191900
139990,아주스틸,KOSPI,철강금속,9870,190,1.96,261083105430
001780,알루코,KOSPI,철강금속,4780,370,8.39,430053884960
018250,애경산업,KOSPI,화학,24850,700,2.9,656286884750
161000,애경케미칼,KOSPI,화학,21600,250,1.17,1050812114400
011090,에넥스,KOSPI,기타제조업,680,1,0.15,40794315880
137310,에스디바이오센서,KOSPI,의료정밀,13090,860,7.03,1367281300770
005850,에스엘,KOSPI,운수장비,36700,0,0,1704660684000
010580,에스엠벡셀,KOSPI,운수장비,2615,60,2.35,290923352400
012750,에스원,KOSPI,서비스업,54200,900,1.69,2059555447600
023960,에쓰씨엔지니어링,KOSPI,건설업,1990,70,3.65,62186216450
298690,에어부산,KOSPI,운수창고업,3380,-5,-0.15,394243200000
140910,에이리츠,KOSPI,서비스업,3955,-5,-0.13,17651291560
078520,에이블씨엔씨,KOSPI,화학,7300,-150,-2.01,189903375300
015260,에이엔피,KOSPI,전기전자,1729,-7,-0.4,77315079205
007460,에이프로젠,KOSPI,기계,1271,-9,-0.7,322413114705
003060,에이프로젠바이오로직스,KOSPI,의약품,385,0,0,256315555265
244920,에이플러스에셋,KOSPI,기타금융,4620,10,0.22,104447541660
036570,엔씨소프트,KOSPI,서비스업,297500,2500,0.85,6531321545000
380440,엔에이치스팩19호,KOSPI,기타금융,9990,-20,-0.2,102477420000
085310,엔케이,KOSPI,기계,1011,4,0.4,80863168872
900140,엘브이엠씨홀딩스,KOSPI,유통업,2500,160,6.84,428971027500
097520,엠씨넥스,KOSPI,전기전자,29800,-250,-0.83,535736413600
014440,영보화학,KOSPI,화학,3885,-35,-0.89,77700000000
