id,회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
668,삼아알미늄,6110,"1차 비철금속 제조업","알루미늄박지,은박지,은박가공품,알페이스트 제조,도매,수출",1980-12-05,12월,"한남희,하상용",http://www.sama-al.com,경기도
669,한국전자홀딩스,6200,"기타 금융업","시장조사,경영컨설팅",1979-11-30,12월,"박 명 덕",http://www.kecholdings.co.kr,서울특별시
670,삼성SDI,6400,"일차전지 및 축전지 제조업","2차전지, 전자재료 제조 판매",1979-02-27,12월,최윤호,http://www.samsungsdi.co.kr,경기도
671,삼성전기,9150,"전자부품 제조업","수동소자 (MLCC, Inductor, Chip Resistor 등), 모듈(카메라모듈, 통신모듈), 반도체패키지 기판",1979-02-27,12월,장덕현,http://www.sem.samsung.co.kr,경기도
672,동부건설,5960,"토목 건설업","건축공사,토목공사,전기공사,기계설비공사/비금속,철구조물 제조,판매/여객,자동차 운송,항만하역",1978-10-30,12월,윤진오,http://dbcon.dongbu.co.kr,서울특별시
673,케이씨티시,9070,"도로 화물 운송업","화물자동차운송,항만하역,창고보관,컨테이너조작,중량물해상운송",1978-09-29,12월,류주환,http://www.kctc.co.kr,서울특별시
674,코오롱글로벌,3070,"토목 건설업","토목공사,일반건설,주택건설,해외건설,소각로설비공사/환경플랜트,폐처리기 제조",1978-09-15,12월,김정일,http://www.kolonglobal.com,경기도
675,빙그레,5180,"낙농제품 및 식용빙과류 제조업","아이스크림,우유,스낵,유산균(욥닥터캡슐) 제조",1978-08-31,12월,전창원,http://www.bing.co.kr,경기도
676,녹십자홀딩스,5250,"회사 본부 및 경영 컨설팅 서비스업","알부민,유로키나제,간염백신,유행성출혈열백신 제조",1978-08-28,12월,"허일섭, 허용준",http://www.gccorp.com,경기도
677,조선내화,480,"내화, 비내화 요업제품 제조업","내화연와(정형,부정형,S/N,CCN),단열벽돌,스라이딩노즐,연주용 특수내화물 제조",1978-06-30,12월,이상암,http://www.chosunref.co.kr,전라남도
678,현대약품,4310,"의약품 제조업","타코실, 마이녹실, 테놀민, 미에로화이바 등",1978-06-28,11월,이상준,http://www.hyundaipharm.co.kr,충청남도
679,남양유업,3920,"낙농제품 및 식용빙과류 제조업","시유,조제분유,발효유,이유밀,치즈,프렌치까페 제조,도매",1978-06-24,12월,이광범,http://www.namyangi.com,서울특별시
680,남선알미늄,8350,"1차 비철금속 제조업","알미늄샷시 제조/환경사업",1978-05-22,12월,"박귀봉, 정순원(각자대표)",http://www.namsun.co.kr,대구광역시
681,한국화장품제조,3350,"기타 화학제품 제조업","화장품(OEM,ODM)",1978-02-06,12월,이용준,http://www.hkcosm.com,서울특별시
682,DL건설,1880,"건물 건설업","도로건설공사,토목공사,건축공사,조경공사/부동산 임대,매매",1977-12-22,12월,곽수윤,http://www.dlconstruction.co.kr,인천광역시
683,현대코퍼레이션,11760,"상품 종합 도매업","자동차,철강,기계,선박,플랜트,컴퓨터,전자제품 수출,수출입대행/자원(탄광,유전) 개발",1977-12-01,12월,"정몽혁, 김원갑, 장안석(각자대표이사)",http://www.hyundaicorp.co.kr,서울특별시
684,LS,6260,"기타 금융업","전력용전선,일반전선,통신케이블,동선,알루미늄선,공조기,프라스틱사출성형기 제조,도매",1977-06-30,12월,명노현,http://www.lsholdings.co.kr,서울특별시
685,SK네트웍스,1740,"기타 전문 도매업","정보통신 유통, 자동차 관리, 글로벌 트레이딩, 호텔&리조트",1977-06-30,12월,이호정,http://www.sknetworks.co.kr,경기도
686,경농,2100,"비료, 농약 및 살균, 살충제 제조업","완제농약(잡초약,살충제,살균제) 제조",1977-06-30,12월,"이병만,이용진",http://www.knco.co.kr,서울특별시
687,티웨이홀딩스,4870,"시멘트, 석회, 플라스터 및 그 제품 제조업","레미콘,콘크리트파일,완구 제조/미니어쳐테마파크 운영",1977-06-30,12월,황정현,http://www.twayholdings.com,서울특별시
688,동방아그로,7590,"비료, 농약 및 살균, 살충제 제조업","농약(잡초발생전 토양처리형 밭잡초약,부메랑,주움,그라목손) 제조,도매",1977-06-29,12월,"염병만, 염병진",http://www.dongbangagro.co.kr,서울특별시
